  0%|                                                                                       | 0/918 [00:00<?, ?it/s]/root/anaconda3/envs/Mixture-of-Debater/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
{'loss': 0.8436, 'learning_rate': 0.0001520239448610882, 'epoch': 0.35}
{'loss': 0.8042, 'learning_rate': 0.00015172216246151426, 'epoch': 0.35}
{'loss': 0.7885, 'learning_rate': 0.00015141973560195768, 'epoch': 0.35}
{'loss': 0.7466, 'learning_rate': 0.00015111666805066795, 'epoch': 0.35}
{'loss': 0.7792, 'learning_rate': 0.0001508129635838775, 'epoch': 0.35}
{'loss': 0.7745, 'learning_rate': 0.00015050862598575476, 'epoch': 0.35}
{'loss': 0.8892, 'learning_rate': 0.000150203659048357, 'epoch': 0.35}
{'loss': 0.7804, 'learning_rate': 0.00014989806657158321, 'epoch': 0.35}
{'loss': 0.8092, 'learning_rate': 0.00014959185236312642, 'epoch': 0.36}
{'loss': 0.7908, 'learning_rate': 0.00014928502023842658, 'epoch': 0.36}
{'loss': 0.7715, 'learning_rate': 0.00014897757402062284, 'epoch': 0.36}
{'loss': 0.8432, 'learning_rate': 0.00014866951754050604, 'epoch': 0.36}
{'loss': 0.8029, 'learning_rate': 0.00014836085463647088, 'epoch': 0.36}
{'loss': 0.7621, 'learning_rate': 0.00014805158915446803, 'epoch': 0.36}
{'loss': 0.8334, 'learning_rate': 0.00014774172494795652, 'epoch': 0.36}
{'loss': 0.7561, 'learning_rate': 0.00014743126587785522, 'epoch': 0.36}
{'loss': 0.8554, 'learning_rate': 0.00014712021581249533, 'epoch': 0.36}
{'loss': 0.7941, 'learning_rate': 0.00014680857862757162, 'epoch': 0.36}
{'loss': 0.8534, 'learning_rate': 0.00014649635820609456, 'epoch': 0.37}
{'loss': 0.929, 'learning_rate': 0.0001461835584383416, 'epoch': 0.37}
{'loss': 0.8065, 'learning_rate': 0.00014587018322180905, 'epoch': 0.37}
{'loss': 0.7783, 'learning_rate': 0.00014555623646116326, 'epoch': 0.37}
{'loss': 0.8383, 'learning_rate': 0.00014524172206819194, 'epoch': 0.37}
{'loss': 0.8263, 'learning_rate': 0.0001449266439617557, 'epoch': 0.37}
{'loss': 0.7379, 'learning_rate': 0.00014461100606773884, 'epoch': 0.37}
{'loss': 0.8297, 'learning_rate': 0.00014429481231900083, 'epoch': 0.37}
{'loss': 0.8066, 'learning_rate': 0.00014397806665532694, 'epoch': 0.37}
{'loss': 0.876, 'learning_rate': 0.00014366077302337948, 'epoch': 0.38}
{'loss': 0.8231, 'learning_rate': 0.00014334293537664837, 'epoch': 0.38}
{'loss': 0.8359, 'learning_rate': 0.00014302455767540187, 'epoch': 0.38}
{'loss': 0.7595, 'learning_rate': 0.0001427056438866376, 'epoch': 0.38}
{'loss': 0.8418, 'learning_rate': 0.00014238619798403267, 'epoch': 0.38}
{'loss': 0.7515, 'learning_rate': 0.00014206622394789432, 'epoch': 0.38}
{'loss': 0.872, 'learning_rate': 0.0001417457257651104, 'epoch': 0.38}
{'loss': 0.8856, 'learning_rate': 0.00014142470742909975, 'epoch': 0.38}
{'loss': 0.748, 'learning_rate': 0.00014110317293976218, 'epoch': 0.38}
{'loss': 0.8372, 'learning_rate': 0.0001407811263034289, 'epoch': 0.39}
{'loss': 0.6531, 'learning_rate': 0.00014045857153281244, 'epoch': 0.39}
{'loss': 0.7967, 'learning_rate': 0.00014013551264695662, 'epoch': 0.39}
{'loss': 0.797, 'learning_rate': 0.00013981195367118675, 'epoch': 0.39}
{'loss': 0.7115, 'learning_rate': 0.00013948789863705912, 'epoch': 0.39}
{'loss': 0.7836, 'learning_rate': 0.000139163351582311, 'epoch': 0.39}
{'loss': 0.8763, 'learning_rate': 0.00013883831655081018, 'epoch': 0.39}
{'loss': 0.8492, 'learning_rate': 0.00013851279759250471, 'epoch': 0.39}
{'loss': 0.7818, 'learning_rate': 0.00013818679876337247, 'epoch': 0.39}
{'loss': 0.816, 'learning_rate': 0.00013786032412537035, 'epoch': 0.4}
{'loss': 0.7146, 'learning_rate': 0.00013753337774638396, 'epoch': 0.4}
{'loss': 0.8335, 'learning_rate': 0.00013720596370017687, 'epoch': 0.4}
{'loss': 0.6827, 'learning_rate': 0.00013687808606633966, 'epoch': 0.4}
{'loss': 0.8668, 'learning_rate': 0.00013654974893023933, 'epoch': 0.4}
{'loss': 0.7241, 'learning_rate': 0.00013622095638296826, 'epoch': 0.4}
{'loss': 0.7603, 'learning_rate': 0.00013589171252129329, 'epoch': 0.4}
{'loss': 0.7823, 'learning_rate': 0.0001355620214476046, 'epoch': 0.4}
{'loss': 0.7845, 'learning_rate': 0.00013523188726986476, 'epoch': 0.4}
{'loss': 0.8225, 'learning_rate': 0.00013490131410155728, 'epoch': 0.41}
{'loss': 0.7958, 'learning_rate': 0.00013457030606163562, 'epoch': 0.41}
{'loss': 0.8192, 'learning_rate': 0.00013423886727447176, 'epoch': 0.41}
{'loss': 0.8634, 'learning_rate': 0.0001339070018698047, 'epoch': 0.41}
{'loss': 0.783, 'learning_rate': 0.00013357471398268918, 'epoch': 0.41}
{'loss': 0.8144, 'learning_rate': 0.00013324200775344415, 'epoch': 0.41}
{'loss': 0.7903, 'learning_rate': 0.000132908887327601, 'epoch': 0.41}
{'loss': 0.8142, 'learning_rate': 0.0001325753568558521, 'epoch': 0.41}
{'loss': 0.8193, 'learning_rate': 0.00013224142049399895, 'epoch': 0.41}
{'loss': 0.8184, 'learning_rate': 0.0001319070824029005, 'epoch': 0.42}
{'loss': 0.7308, 'learning_rate': 0.00013157234674842128, 'epoch': 0.42}
{'loss': 0.8102, 'learning_rate': 0.00013123721770137944, 'epoch': 0.42}
{'loss': 0.7478, 'learning_rate': 0.00013090169943749476, 'epoch': 0.42}
{'loss': 0.7933, 'learning_rate': 0.00013056579613733674, 'epoch': 0.42}
{'loss': 0.71, 'learning_rate': 0.00013022951198627254, 'epoch': 0.42}
{'loss': 0.8721, 'learning_rate': 0.00012989285117441453, 'epoch': 0.42}
{'loss': 0.845, 'learning_rate': 0.00012955581789656843, 'epoch': 0.42}
{'loss': 0.7322, 'learning_rate': 0.00012921841635218082, 'epoch': 0.42}
{'loss': 0.8379, 'learning_rate': 0.000128880650745287, 'epoch': 0.42}
{'loss': 0.9212, 'learning_rate': 0.00012854252528445842, 'epoch': 0.43}
{'loss': 0.7877, 'learning_rate': 0.0001282040441827503, 'epoch': 0.43}
{'loss': 0.7606, 'learning_rate': 0.0001278652116576492, 'epoch': 0.43}
{'loss': 0.8773, 'learning_rate': 0.0001275260319310205, 'epoch': 0.43}
{'loss': 0.7535, 'learning_rate': 0.0001271865092290556, 'epoch': 0.43}
{'loss': 0.7466, 'learning_rate': 0.00012684664778221942, 'epoch': 0.43}
{'loss': 0.7981, 'learning_rate': 0.00012650645182519767, 'epoch': 0.43}
{'loss': 0.8891, 'learning_rate': 0.0001261659255968441, 'epoch': 0.43}
{'loss': 0.8306, 'learning_rate': 0.00012582507334012755, 'epoch': 0.43}
{'loss': 0.8577, 'learning_rate': 0.0001254838993020793, 'epoch': 0.44}
{'loss': 0.8124, 'learning_rate': 0.00012514240773374004, 'epoch': 0.44}
{'loss': 0.7112, 'learning_rate': 0.00012480060289010679, 'epoch': 0.44}
{'loss': 0.777, 'learning_rate': 0.00012445848903008003, 'epoch': 0.44}
{'loss': 0.8263, 'learning_rate': 0.00012411607041641062, 'epoch': 0.44}
{'loss': 0.7919, 'learning_rate': 0.0001237733513156467, 'epoch': 0.44}
{'loss': 0.7953, 'learning_rate': 0.00012343033599808044, 'epoch': 0.44}
{'loss': 0.8068, 'learning_rate': 0.00012308702873769486, 'epoch': 0.44}
{'loss': 0.8773, 'learning_rate': 0.00012274343381211066, 'epoch': 0.44}
{'loss': 0.79, 'learning_rate': 0.00012239955550253276, 'epoch': 0.45}
{'loss': 0.7508, 'learning_rate': 0.00012205539809369719, 'epoch': 0.45}
{'loss': 0.7386, 'learning_rate': 0.00012171096587381749, 'epoch': 0.45}
{'loss': 0.8453, 'learning_rate': 0.00012136626313453134, 'epoch': 0.45}
{'loss': 0.7857, 'learning_rate': 0.00012102129417084714, 'epoch': 0.45}
{'loss': 0.8203, 'learning_rate': 0.00012067606328109038, 'epoch': 0.45}
{'loss': 0.815, 'learning_rate': 0.00012033057476685028, 'epoch': 0.45}
{'loss': 0.8457, 'learning_rate': 0.00011998483293292602, 'epoch': 0.45}
{'loss': 0.6992, 'learning_rate': 0.00011963884208727305, 'epoch': 0.45}
{'loss': 0.7653, 'learning_rate': 0.00011929260654094969, 'epoch': 0.46}
{'loss': 0.7889, 'learning_rate': 0.00011894613060806312, 'epoch': 0.46}
{'loss': 0.7764, 'learning_rate': 0.0001185994186057158, 'epoch': 0.46}
{'loss': 0.8526, 'learning_rate': 0.00011825247485395156, 'epoch': 0.46}
{'loss': 0.7056, 'learning_rate': 0.00011790530367570194, 'epoch': 0.46}
{'loss': 0.7717, 'learning_rate': 0.00011755790939673209, 'epoch': 0.46}
{'loss': 0.7948, 'learning_rate': 0.00011721029634558709, 'epoch': 0.46}
{'loss': 0.8, 'learning_rate': 0.00011686246885353798, 'epoch': 0.46}
{'loss': 0.78, 'learning_rate': 0.00011651443125452759, 'epoch': 0.46}
{'loss': 0.7309, 'learning_rate': 0.00011616618788511683, 'epoch': 0.47}
{'loss': 0.8136, 'learning_rate': 0.0001158177430844304, 'epoch': 0.47}
{'loss': 0.7314, 'learning_rate': 0.00011546910119410297, 'epoch': 0.47}
{'loss': 0.8016, 'learning_rate': 0.00011512026655822483, 'epoch': 0.47}
{'loss': 0.714, 'learning_rate': 0.00011477124352328799, 'epoch': 0.47}
{'loss': 0.8899, 'learning_rate': 0.00011442203643813183, 'epoch': 0.47}
{'loss': 0.7535, 'learning_rate': 0.00011407264965388906, 'epoch': 0.47}
{'loss': 0.8302, 'learning_rate': 0.00011372308752393144, 'epoch': 0.47}
{'loss': 0.7248, 'learning_rate': 0.00011337335440381551, 'epoch': 0.47}
{'loss': 0.7811, 'learning_rate': 0.00011302345465122839, 'epoch': 0.47}
{'loss': 0.8342, 'learning_rate': 0.00011267339262593342, 'epoch': 0.48}
{'loss': 0.7811, 'learning_rate': 0.00011232317268971585, 'epoch': 0.48}
{'loss': 0.7442, 'learning_rate': 0.00011197279920632864, 'epoch': 0.48}
{'loss': 0.9224, 'learning_rate': 0.00011162227654143778, 'epoch': 0.48}
{'loss': 0.823, 'learning_rate': 0.0001112716090625681, 'epoch': 0.48}
{'loss': 0.7444, 'learning_rate': 0.00011092080113904886, 'epoch': 0.48}
{'loss': 0.7071, 'learning_rate': 0.00011056985714195932, 'epoch': 0.48}
{'loss': 0.8014, 'learning_rate': 0.00011021878144407408, 'epoch': 0.48}
{'loss': 0.8006, 'learning_rate': 0.00010986757841980886, 'epoch': 0.48}
{'loss': 0.8325, 'learning_rate': 0.00010951625244516583, 'epoch': 0.49}
{'loss': 0.7982, 'learning_rate': 0.00010916480789767907, 'epoch': 0.49}
{'loss': 0.8086, 'learning_rate': 0.00010881324915636019, 'epoch': 0.49}
{'loss': 0.7544, 'learning_rate': 0.00010846158060164358, 'epoch': 0.49}
{'loss': 0.7292, 'learning_rate': 0.0001081098066153319, 'epoch': 0.49}
{'loss': 0.7226, 'learning_rate': 0.00010775793158054157, 'epoch': 0.49}
{'loss': 0.7645, 'learning_rate': 0.00010740595988164801, 'epoch': 0.49}
{'loss': 0.7672, 'learning_rate': 0.0001070538959042311, 'epoch': 0.49}
{'loss': 0.6608, 'learning_rate': 0.00010670174403502052, 'epoch': 0.49}
{'loss': 0.8266, 'learning_rate': 0.00010634950866184108, 'epoch': 0.5}
{'loss': 0.7491, 'learning_rate': 0.000105997194173558, 'epoch': 0.5}
{'loss': 0.6273, 'learning_rate': 0.00010564480496002236, 'epoch': 0.5}
{'loss': 0.8218, 'learning_rate': 0.00010529234541201631, 'epoch': 0.5}
{'loss': 0.745, 'learning_rate': 0.00010493981992119833, 'epoch': 0.5}
{'loss': 0.8393, 'learning_rate': 0.00010458723288004857, 'epoch': 0.5}
{'loss': 0.7892, 'learning_rate': 0.00010423458868181403, 'epoch': 0.5}
{'loss': 0.7507, 'learning_rate': 0.00010388189172045406, 'epoch': 0.5}
{'loss': 0.7028, 'learning_rate': 0.00010352914639058526, 'epoch': 0.5}
{'loss': 0.7807, 'learning_rate': 0.00010317635708742699, 'epoch': 0.51}
{'loss': 0.7532, 'learning_rate': 0.00010282352820674655, 'epoch': 0.51}
{'loss': 0.7325, 'learning_rate': 0.00010247066414480424, 'epoch': 0.51}
{'loss': 0.788, 'learning_rate': 0.00010211776929829893, 'epoch': 0.51}
{'loss': 0.8271, 'learning_rate': 0.00010176484806431288, 'epoch': 0.51}
{'loss': 0.7593, 'learning_rate': 0.00010141190484025723, 'epoch': 0.51}
{'loss': 0.6805, 'learning_rate': 0.00010105894402381704, 'epoch': 0.51}
{'loss': 0.7011, 'learning_rate': 0.0001007059700128967, 'epoch': 0.51}
{'loss': 0.9528, 'learning_rate': 0.00010035298720556493, 'epoch': 0.51}
{'loss': 0.7989, 'learning_rate': 0.0001, 'epoch': 0.52}
{'loss': 0.7927, 'learning_rate': 9.964701279443508e-05, 'epoch': 0.52}
{'loss': 0.7277, 'learning_rate': 9.929402998710334e-05, 'epoch': 0.52}
{'loss': 0.6964, 'learning_rate': 9.894105597618296e-05, 'epoch': 0.52}
{'loss': 0.7642, 'learning_rate': 9.858809515974284e-05, 'epoch': 0.52}
{'loss': 0.7586, 'learning_rate': 9.823515193568715e-05, 'epoch': 0.52}
{'loss': 0.7807, 'learning_rate': 9.788223070170112e-05, 'epoch': 0.52}
{'loss': 0.6404, 'learning_rate': 9.752933585519577e-05, 'epoch': 0.52}
{'loss': 0.815, 'learning_rate': 9.717647179325346e-05, 'epoch': 0.52}
{'loss': 0.7664, 'learning_rate': 9.682364291257304e-05, 'epoch': 0.53}
{'loss': 0.6732, 'learning_rate': 9.647085360941476e-05, 'epoch': 0.53}
{'loss': 0.8714, 'learning_rate': 9.611810827954599e-05, 'epoch': 0.53}
{'loss': 0.7985, 'learning_rate': 9.576541131818599e-05, 'epoch': 0.53}
{'loss': 0.7538, 'learning_rate': 9.541276711995148e-05, 'epoch': 0.53}
{'loss': 0.6732, 'learning_rate': 9.506018007880168e-05, 'epoch': 0.53}
{'loss': 0.8054, 'learning_rate': 9.470765458798368e-05, 'epoch': 0.53}
{'loss': 0.7622, 'learning_rate': 9.435519503997766e-05, 'epoch': 0.53}
{'loss': 0.8385, 'learning_rate': 9.400280582644203e-05, 'epoch': 0.53}
{'loss': 0.7069, 'learning_rate': 9.365049133815897e-05, 'epoch': 0.53}
{'loss': 0.8105, 'learning_rate': 9.329825596497949e-05, 'epoch': 0.54}
{'loss': 0.9346, 'learning_rate': 9.29461040957689e-05, 'epoch': 0.54}
{'loss': 0.7566, 'learning_rate': 9.259404011835201e-05, 'epoch': 0.54}
{'loss': 0.8213, 'learning_rate': 9.224206841945844e-05, 'epoch': 0.54}
{'loss': 0.6938, 'learning_rate': 9.189019338466812e-05, 'epoch': 0.54}
{'loss': 0.7028, 'learning_rate': 9.153841939835645e-05, 'epoch': 0.54}
{'loss': 0.8098, 'learning_rate': 9.118675084363986e-05, 'epoch': 0.54}
{'loss': 0.7599, 'learning_rate': 9.083519210232096e-05, 'epoch': 0.54}
{'loss': 0.774, 'learning_rate': 9.048374755483419e-05, 'epoch': 0.54}
{'loss': 0.8531, 'learning_rate': 9.013242158019116e-05, 'epoch': 0.55}
{'loss': 0.7383, 'learning_rate': 8.978121855592593e-05, 'epoch': 0.55}
{'loss': 0.831, 'learning_rate': 8.943014285804072e-05, 'epoch': 0.55}
{'loss': 0.7378, 'learning_rate': 8.907919886095115e-05, 'epoch': 0.55}
{'loss': 0.7611, 'learning_rate': 8.872839093743194e-05, 'epoch': 0.55}
{'loss': 0.7078, 'learning_rate': 8.837772345856226e-05, 'epoch': 0.55}
{'loss': 0.7368, 'learning_rate': 8.802720079367135e-05, 'epoch': 0.55}
{'loss': 0.7786, 'learning_rate': 8.767682731028415e-05, 'epoch': 0.55}
{'loss': 0.7867, 'learning_rate': 8.732660737406662e-05, 'epoch': 0.55}
{'loss': 0.7248, 'learning_rate': 8.697654534877165e-05, 'epoch': 0.56}
{'loss': 0.841, 'learning_rate': 8.662664559618452e-05, 'epoch': 0.56}
{'loss': 0.9222, 'learning_rate': 8.627691247606862e-05, 'epoch': 0.56}
{'loss': 0.8014, 'learning_rate': 8.592735034611097e-05, 'epoch': 0.56}
{'loss': 0.7306, 'learning_rate': 8.557796356186818e-05, 'epoch': 0.56}
{'loss': 0.8793, 'learning_rate': 8.522875647671203e-05, 'epoch': 0.56}
{'loss': 0.7738, 'learning_rate': 8.487973344177517e-05, 'epoch': 0.56}
{'loss': 0.794, 'learning_rate': 8.453089880589707e-05, 'epoch': 0.56}
{'loss': 0.7332, 'learning_rate': 8.418225691556962e-05, 'epoch': 0.56}
{'loss': 0.8395, 'learning_rate': 8.383381211488322e-05, 'epoch': 0.57}
{'loss': 0.8005, 'learning_rate': 8.348556874547242e-05, 'epoch': 0.57}
{'loss': 0.827, 'learning_rate': 8.313753114646203e-05, 'epoch': 0.57}
{'loss': 0.7002, 'learning_rate': 8.278970365441292e-05, 'epoch': 0.57}
{'loss': 0.7227, 'learning_rate': 8.244209060326794e-05, 'epoch': 0.57}
{'loss': 0.802, 'learning_rate': 8.20946963242981e-05, 'epoch': 0.57}
{'loss': 0.7098, 'learning_rate': 8.174752514604845e-05, 'epoch': 0.57}
{'loss': 0.795, 'learning_rate': 8.140058139428425e-05, 'epoch': 0.57}
{'loss': 0.7404, 'learning_rate': 8.10538693919369e-05, 'epoch': 0.57}
{'loss': 0.8788, 'learning_rate': 8.070739345905032e-05, 'epoch': 0.58}
{'loss': 0.7421, 'learning_rate': 8.036115791272697e-05, 'epoch': 0.58}
{'loss': 0.7507, 'learning_rate': 8.001516706707401e-05, 'epoch': 0.58}
{'loss': 0.7691, 'learning_rate': 7.966942523314976e-05, 'epoch': 0.58}
{'loss': 0.856, 'learning_rate': 7.932393671890965e-05, 'epoch': 0.58}
{'loss': 0.6969, 'learning_rate': 7.897870582915288e-05, 'epoch': 0.58}
{'loss': 0.7668, 'learning_rate': 7.863373686546867e-05, 'epoch': 0.58}
{'loss': 0.7698, 'learning_rate': 7.82890341261825e-05, 'epoch': 0.58}
{'loss': 0.7584, 'learning_rate': 7.794460190630282e-05, 'epoch': 0.58}
{'loss': 0.8054, 'learning_rate': 7.760044449746724e-05, 'epoch': 0.58}
{'loss': 0.6852, 'learning_rate': 7.725656618788937e-05, 'epoch': 0.59}
{'loss': 0.7393, 'learning_rate': 7.691297126230516e-05, 'epoch': 0.59}
{'loss': 0.7266, 'learning_rate': 7.656966400191956e-05, 'epoch': 0.59}
{'loss': 0.7695, 'learning_rate': 7.622664868435333e-05, 'epoch': 0.59}
{'loss': 0.7037, 'learning_rate': 7.58839295835894e-05, 'epoch': 0.59}
{'loss': 0.6861, 'learning_rate': 7.554151096992001e-05, 'epoch': 0.59}
{'loss': 0.764, 'learning_rate': 7.519939710989325e-05, 'epoch': 0.59}
{'loss': 0.7739, 'learning_rate': 7.485759226626001e-05, 'epoch': 0.59}
{'loss': 0.7269, 'learning_rate': 7.45161006979207e-05, 'epoch': 0.59}
{'loss': 0.6985, 'learning_rate': 7.417492665987246e-05, 'epoch': 0.6}
{'loss': 0.7238, 'learning_rate': 7.383407440315596e-05, 'epoch': 0.6}
{'loss': 0.7937, 'learning_rate': 7.349354817480234e-05, 'epoch': 0.6}
{'loss': 0.8658, 'learning_rate': 7.315335221778064e-05, 'epoch': 0.6}
{'loss': 0.7779, 'learning_rate': 7.281349077094444e-05, 'epoch': 0.6}
{'loss': 0.7307, 'learning_rate': 7.247396806897952e-05, 'epoch': 0.6}
{'loss': 0.8037, 'learning_rate': 7.213478834235079e-05, 'epoch': 0.6}
{'loss': 0.7116, 'learning_rate': 7.17959558172497e-05, 'epoch': 0.6}
{'loss': 0.7236, 'learning_rate': 7.145747471554163e-05, 'epoch': 0.6}
{'loss': 0.7764, 'learning_rate': 7.111934925471302e-05, 'epoch': 0.61}
{'loss': 0.7909, 'learning_rate': 7.078158364781919e-05, 'epoch': 0.61}
{'loss': 0.7986, 'learning_rate': 7.04441821034316e-05, 'epoch': 0.61}
{'loss': 0.785, 'learning_rate': 7.010714882558551e-05, 'epoch': 0.61}
{'loss': 0.7446, 'learning_rate': 6.97704880137275e-05, 'epoch': 0.61}
{'loss': 0.7697, 'learning_rate': 6.943420386266324e-05, 'epoch': 0.61}
{'loss': 0.8024, 'learning_rate': 6.909830056250527e-05, 'epoch': 0.61}
{'loss': 0.7538, 'learning_rate': 6.87627822986206e-05, 'epoch': 0.61}
{'loss': 0.7931, 'learning_rate': 6.842765325157874e-05, 'epoch': 0.61}
{'loss': 0.8433, 'learning_rate': 6.80929175970995e-05, 'epoch': 0.62}
{'loss': 0.7945, 'learning_rate': 6.775857950600106e-05, 'epoch': 0.62}
{'loss': 0.8501, 'learning_rate': 6.742464314414792e-05, 'epoch': 0.62}
{'loss': 0.786, 'learning_rate': 6.7091112672399e-05, 'epoch': 0.62}
{'loss': 0.7763, 'learning_rate': 6.675799224655587e-05, 'epoch': 0.62}
{'loss': 0.8005, 'learning_rate': 6.642528601731082e-05, 'epoch': 0.62}
{'loss': 0.8664, 'learning_rate': 6.609299813019533e-05, 'epoch': 0.62}
{'loss': 0.7493, 'learning_rate': 6.576113272552826e-05, 'epoch': 0.62}
{'loss': 0.758, 'learning_rate': 6.542969393836436e-05, 'epoch': 0.62}
{'loss': 0.7972, 'learning_rate': 6.509868589844273e-05, 'epoch': 0.63}
{'loss': 0.7291, 'learning_rate': 6.476811273013526e-05, 'epoch': 0.63}
{'loss': 0.783, 'learning_rate': 6.44379785523954e-05, 'epoch': 0.63}
{'loss': 0.725, 'learning_rate': 6.410828747870672e-05, 'epoch': 0.63}
{'loss': 0.804, 'learning_rate': 6.377904361703178e-05, 'epoch': 0.63}
{'loss': 0.7192, 'learning_rate': 6.34502510697607e-05, 'epoch': 0.63}
{'loss': 0.8332, 'learning_rate': 6.312191393366035e-05, 'epoch': 0.63}
{'loss': 0.7115, 'learning_rate': 6.279403629982316e-05, 'epoch': 0.63}
{'loss': 0.819, 'learning_rate': 6.246662225361602e-05, 'epoch': 0.63}
{'loss': 0.7416, 'learning_rate': 6.213967587462968e-05, 'epoch': 0.64}
{'loss': 0.6817, 'learning_rate': 6.181320123662755e-05, 'epoch': 0.64}
{'loss': 0.8263, 'learning_rate': 6.148720240749528e-05, 'epoch': 0.64}
{'loss': 0.6909, 'learning_rate': 6.116168344918983e-05, 'epoch': 0.64}
{'loss': 0.8095, 'learning_rate': 6.0836648417689e-05, 'epoch': 0.64}
{'loss': 0.8944, 'learning_rate': 6.051210136294089e-05, 'epoch': 0.64}
{'loss': 0.718, 'learning_rate': 6.018804632881325e-05, 'epoch': 0.64}
{'loss': 0.818, 'learning_rate': 5.986448735304339e-05, 'epoch': 0.64}
{'loss': 0.8287, 'learning_rate': 5.95414284671876e-05, 'epoch': 0.64}
{'loss': 0.7165, 'learning_rate': 5.921887369657113e-05, 'epoch': 0.64}
{'loss': 0.7236, 'learning_rate': 5.889682706023783e-05, 'epoch': 0.65}
{'loss': 0.6856, 'learning_rate': 5.857529257090027e-05, 'epoch': 0.65}
{'loss': 0.7544, 'learning_rate': 5.8254274234889613e-05, 'epoch': 0.65}
{'loss': 0.7217, 'learning_rate': 5.7933776052105745e-05, 'epoch': 0.65}
{'loss': 0.7751, 'learning_rate': 5.76138020159674e-05, 'epoch': 0.65}
{'loss': 0.7679, 'learning_rate': 5.729435611336239e-05, 'epoch': 0.65}
{'loss': 0.8373, 'learning_rate': 5.697544232459816e-05, 'epoch': 0.65}
{'loss': 0.7422, 'learning_rate': 5.6657064623351676e-05, 'epoch': 0.65}
{'loss': 0.7856, 'learning_rate': 5.633922697662053e-05, 'epoch': 0.65}
{'loss': 0.7604, 'learning_rate': 5.602193334467307e-05, 'epoch': 0.66}
{'loss': 0.8217, 'learning_rate': 5.570518768099918e-05, 'epoch': 0.66}
{'loss': 0.7291, 'learning_rate': 5.5388993932261215e-05, 'epoch': 0.66}
{'loss': 0.6783, 'learning_rate': 5.507335603824435e-05, 'epoch': 0.66}
{'loss': 0.8148, 'learning_rate': 5.4758277931808075e-05, 'epoch': 0.66}
{'loss': 0.7706, 'learning_rate': 5.444376353883678e-05, 'epoch': 0.66}
{'loss': 0.7906, 'learning_rate': 5.4129816778190936e-05, 'epoch': 0.66}
{'loss': 0.7101, 'learning_rate': 5.3816441561658434e-05, 'epoch': 0.66}
{'loss': 0.6601, 'learning_rate': 5.350364179390548e-05, 'epoch': 0.66}
{'loss': 0.8191, 'learning_rate': 5.3191421372428384e-05, 'epoch': 0.67}
{'loss': 0.7059, 'learning_rate': 5.28797841875047e-05, 'epoch': 0.67}
{'loss': 0.7912, 'learning_rate': 5.2568734122144756e-05, 'epoch': 0.67}
{'loss': 0.8517, 'learning_rate': 5.2258275052043546e-05, 'epoch': 0.67}
{'loss': 0.7579, 'learning_rate': 5.194841084553196e-05, 'epoch': 0.67}
{'loss': 0.7905, 'learning_rate': 5.163914536352918e-05, 'epoch': 0.67}
{'loss': 0.6987, 'learning_rate': 5.1330482459493964e-05, 'epoch': 0.67}
{'loss': 0.8, 'learning_rate': 5.102242597937717e-05, 'epoch': 0.67}
{'loss': 0.794, 'learning_rate': 5.0714979761573456e-05, 'epoch': 0.67}
{'loss': 0.809, 'learning_rate': 5.040814763687358e-05, 'epoch': 0.68}
{'loss': 0.7108, 'learning_rate': 5.010193342841682e-05, 'epoch': 0.68}
{'loss': 0.668, 'learning_rate': 4.9796340951642986e-05, 'epoch': 0.68}
{'loss': 0.7647, 'learning_rate': 4.949137401424527e-05, 'epoch': 0.68}
{'loss': 0.6739, 'learning_rate': 4.918703641612255e-05, 'epoch': 0.68}
{'loss': 0.819, 'learning_rate': 4.888333194933209e-05, 'epoch': 0.68}
{'loss': 0.7719, 'learning_rate': 4.858026439804235e-05, 'epoch': 0.68}
{'loss': 0.6877, 'learning_rate': 4.827783753848575e-05, 'epoch': 0.68}
{'loss': 0.7744, 'learning_rate': 4.797605513891179e-05, 'epoch': 0.68}
{'loss': 0.8565, 'learning_rate': 4.767492095953985e-05, 'epoch': 0.69}
{'loss': 0.7919, 'learning_rate': 4.737443875251251e-05, 'epoch': 0.69}
{'loss': 0.7463, 'learning_rate': 4.707461226184875e-05, 'epoch': 0.69}
{'loss': 0.7201, 'learning_rate': 4.6775445223397306e-05, 'epoch': 0.69}
{'loss': 0.7184, 'learning_rate': 4.6476941364790074e-05, 'epoch': 0.69}
{'loss': 0.8937, 'learning_rate': 4.61791044053958e-05, 'epoch': 0.69}
{'loss': 0.7207, 'learning_rate': 4.5881938056273565e-05, 'epoch': 0.69}
{'loss': 0.7501, 'learning_rate': 4.558544602012663e-05, 'epoch': 0.69}
{'loss': 0.8191, 'learning_rate': 4.52896319912563e-05, 'epoch': 0.69}
{'loss': 0.8267, 'learning_rate': 4.4994499655515865e-05, 'epoch': 0.69}
{'loss': 0.7292, 'learning_rate': 4.4700052690264826e-05, 'epoch': 0.7}
{'loss': 0.7287, 'learning_rate': 4.440629476432267e-05, 'epoch': 0.7}
{'loss': 0.8407, 'learning_rate': 4.411322953792374e-05, 'epoch': 0.7}
{'loss': 0.718, 'learning_rate': 4.3820860662671107e-05, 'epoch': 0.7}
